"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"NS_Model - CAR T Cells (2).nlogo"
"unique patches visited+tp_relationship"
"02/12/2026 05:56:58:716 -0500"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","c-ratio","total-cells","tp","num-cs","mp","t-ratio","num-ts","[step]","count unique-patches-cs","count unique-patches-ts","mean [count unique-patches-visited] of turtles"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","37","37","34","35.221105527638194"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","34","32","28","32.2713567839196"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","28","26","28","25.824120603015075"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","32","30","32","30.497487437185928"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","18","16","18","17.165829145728644"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","33","33","32","31.236180904522612"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","38","34","37","36.175879396984925"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","35","31","32","33.21105527638191"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","33","30","28","31.462311557788944"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","29","29","27","26.728643216080403"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","34","34","28","32.175879396984925"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","39","37","33","37.11557788944724"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","34","33","34","32.39698492462311"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","36","36","33","34.09045226130653"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","30","26","26","27.65326633165829"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","35","35","35","33.120603015075375"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","40","38","38","38.005025125628144"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","35","34","33","33.31658291457286"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","31","30","24","28.57286432160804"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","36","36","36","34.030150753768844"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","37","34","37","35.015075376884425"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","41","37","37","38.88442211055276"
"6","5","200","20","166.66666666666669","100","1","33.333333333333336","32","28","30","29.472361809045225"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","37","36","34","34.949748743718594"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","19","19","15","18.07537688442211"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","36","34","33","34.256281407035175"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","38","36","35","35.92462311557789"
"3","5","200","10","166.66666666666669","100","1","33.333333333333336","42","39","40","39.75879396984924"
"1","5","200","10","166.66666666666669","100","1","33.333333333333336","20","20","18","19.015075376884422"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","38","36","34","35.81909547738694"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","37","32","35","35.20100502512563"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","39","38","37","36.69346733668342"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","39","39","37","36.824120603015075"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","38","36","38","36.15577889447236"
"5","5","200","10","166.66666666666669","100","1","33.333333333333336","40","38","40","37.562814070351756"
"2","5","200","10","166.66666666666669","100","1","33.333333333333336","39","38","36","37.05527638190955"
"4","5","200","10","166.66666666666669","100","1","33.333333333333336","40","37","35","37.688442211055275"
